TILE,WKT
SU1321,"POLYGON((413000 121000, 414000 121000, 414000 122000, 413000 122000, 413000 121000))"
SU1322,"POLYGON((413000 122000, 414000 122000, 414000 123000, 413000 123000, 413000 122000))"
SU1323,"POLYGON((413000 123000, 414000 123000, 414000 124000, 413000 124000, 413000 123000))"
SU1325,"POLYGON((413000 125000, 414000 125000, 414000 126000, 413000 126000, 413000 125000))"
SU1326,"POLYGON((413000 126000, 414000 126000, 414000 127000, 413000 127000, 413000 126000))"
SU1327,"POLYGON((413000 127000, 414000 127000, 414000 128000, 413000 128000, 413000 127000))"
SU1328,"POLYGON((413000 128000, 414000 128000, 414000 129000, 413000 129000, 413000 128000))"
SU1329,"POLYGON((413000 129000, 414000 129000, 414000 130000, 413000 130000, 413000 129000))"
SU1420,"POLYGON((414000 120000, 415000 120000, 415000 121000, 414000 121000, 414000 120000))"
SU1421,"POLYGON((414000 121000, 415000 121000, 415000 122000, 414000 122000, 414000 121000))"
SU1422,"POLYGON((414000 122000, 415000 122000, 415000 123000, 414000 123000, 414000 122000))"
SU1423,"POLYGON((414000 123000, 415000 123000, 415000 124000, 414000 124000, 414000 123000))"
SU1425,"POLYGON((414000 125000, 415000 125000, 415000 126000, 414000 126000, 414000 125000))"
SU1426,"POLYGON((414000 126000, 415000 126000, 415000 127000, 414000 127000, 414000 126000))"
SU1427,"POLYGON((414000 127000, 415000 127000, 415000 128000, 414000 128000, 414000 127000))"
SU1428,"POLYGON((414000 128000, 415000 128000, 415000 129000, 414000 129000, 414000 128000))"
SU1429,"POLYGON((414000 129000, 415000 129000, 415000 130000, 414000 130000, 414000 129000))"
SU1520,"POLYGON((415000 120000, 416000 120000, 416000 121000, 415000 121000, 415000 120000))"
SU1521,"POLYGON((415000 121000, 416000 121000, 416000 122000, 415000 122000, 415000 121000))"
SU1522,"POLYGON((415000 122000, 416000 122000, 416000 123000, 415000 123000, 415000 122000))"
SU1523,"POLYGON((415000 123000, 416000 123000, 416000 124000, 415000 124000, 415000 123000))"
SU1524,"POLYGON((415000 124000, 416000 124000, 416000 125000, 415000 125000, 415000 124000))"
SU1525,"POLYGON((415000 125000, 416000 125000, 416000 126000, 415000 126000, 415000 125000))"
SU1526,"POLYGON((415000 126000, 416000 126000, 416000 127000, 415000 127000, 415000 126000))"
